Date,Open,High,Low,Close,Adj Close,Volume,10MA,20MA,50MA,200MA,BB(Up),BB(Mid),BB(Down),RSI(9),RSI (14),"MACD(12,26,9) (MACD Line)","MACD(12,26,9) (Signal Line)","MACD(12,26,9) (Histogram)",ATR
2023-05-11,13410.0,13470.25,13361.5,13446.5,13446.5,653399,13274.68,13182.01,12883.14,12149.31,13506.46,13182.01,12857.57,63.99,61.64,121.96,111.3,10.66,203.31
2023-05-12,13446.0,13494.25,13310.5,13396.25,13396.25,628035,13282.28,13192.76,12909.82,12153.2,13531.06,13192.76,12854.47,60.29,59.44,123.72,113.78,9.93,201.91
2023-05-15,13378.75,13480.0,13350.0,13468.0,13468.0,495940,13298.4,13206.84,12932.96,12156.85,13566.77,13206.84,12846.91,63.67,61.55,129.4,116.91,12.49,196.77
2023-05-16,13461.0,13554.5,13426.25,13483.25,13483.25,561834,13328.28,13221.35,12956.15,12159.41,13601.75,13221.35,12840.95,64.39,62.0,133.6,120.24,13.35,191.88
2023-05-17,13498.5,13669.0,13474.25,13643.5,13643.5,621137,13382.55,13244.38,12985.64,12162.81,13668.26,13244.38,12820.49,71.18,66.46,148.15,125.82,22.32,192.08
2023-05-18,13640.5,13913.0,13628.25,13894.0,13894.0,749496,13467.58,13285.36,13018.96,12167.66,13790.69,13285.36,12780.03,78.42,72.0,177.84,136.23,41.61,198.7
2023-05-19,13908.5,13960.25,13814.25,13858.0,13858.0,659819,13521.6,13323.74,13055.97,12170.59,13880.69,13323.74,12766.78,75.36,70.2,196.21,148.22,47.98,194.94
2023-05-22,13805.5,13946.75,13794.25,13902.5,13902.5,538203,13576.62,13366.04,13097.22,12173.47,13964.49,13366.04,12767.58,76.63,71.16,211.91,160.96,50.95,191.91
2023-05-23,13913.25,13979.25,13710.0,13728.75,13728.75,658680,13623.02,13412.0,13133.16,12175.97,13970.34,13412.0,12853.66,62.5,62.7,207.94,170.36,37.58,197.43
2023-05-24,13729.0,13845.75,13566.5,13650.25,13650.25,704804,13647.1,13450.12,13162.02,12178.31,13959.75,13450.12,12940.5,57.14,59.27,196.19,175.52,20.67,203.28
2023-05-25,13877.0,14031.25,13803.0,13976.5,13976.5,819148,13700.1,13487.39,13196.6,12183.03,14037.04,13487.39,12937.74,69.4,67.28,210.78,182.57,28.21,215.97
2023-05-26,13977.75,14369.0,13924.5,14332.5,14332.5,729047,13793.72,13538.0,13231.59,12187.73,14198.16,13538.0,12877.84,77.35,73.42,248.21,195.7,52.51,232.29
2023-05-30,14437.5,14570.0,14336.75,14396.75,14396.75,882198,13886.6,13592.5,13267.63,12193.16,14345.69,13592.5,12839.31,78.49,74.36,279.83,212.53,67.3,232.67
2023-05-31,14397.25,14429.0,14251.25,14300.5,14300.5,680429,13968.32,13648.3,13299.87,12196.77,14438.66,13648.3,12857.94,72.38,70.36,293.73,228.77,64.97,228.74
2023-06-01,14289.5,14528.25,14248.25,14472.25,14472.25,622329,14051.2,13716.88,13331.97,12200.73,14544.33,13716.88,12889.42,76.11,73.14,314.98,246.01,68.97,232.4
2023-06-02,14494.0,14627.75,14468.25,14575.25,14575.25,623290,14119.32,13793.45,13369.34,12205.31,14641.81,13793.45,12945.09,78.11,74.67,336.26,264.06,72.2,227.2
2023-06-05,14577.0,14694.75,14512.75,14588.75,14588.75,619089,14192.4,13857.0,13404.03,12210.79,14744.82,13857.0,12969.18,78.37,74.87,350.17,281.28,68.89,223.97
2023-06-06,14582.0,14623.75,14504.5,14586.5,14586.5,572806,14260.8,13918.71,13437.96,12216.11,14830.08,13918.71,13007.34,78.2,74.76,356.9,296.4,60.5,216.49
2023-06-07,14594.5,14675.0,14305.5,14331.5,14331.5,770555,14321.08,13972.05,13468.82,12221.42,14846.38,13972.05,13097.72,60.6,63.65,337.76,304.68,33.09,227.42
2023-06-08,14316.0,14526.75,14256.75,14503.0,14503.0,631769,14406.35,14026.72,13504.22,12229.39,14889.62,14026.72,13163.83,66.33,67.18,332.6,310.26,22.34,230.46
2023-06-09,14517.0,14687.5,14460.25,14556.25,14556.25,581386,14464.32,14082.21,13536.05,12237.69,14930.61,14082.21,13233.81,67.96,68.22,329.02,314.01,15.0,230.23
2023-06-12,14560.25,14827.0,14554.25,14800.5,14800.5,397388,14511.12,14152.42,13570.42,12247.04,14994.2,14152.42,13310.65,74.36,72.49,341.94,319.6,22.34,233.27
2023-06-13,14824.0,14967.75,14779.5,14914.25,14914.25,347119,14562.88,14224.74,13602.67,12255.83,15067.43,14224.74,13382.04,76.79,74.23,357.25,327.13,30.12,230.05
2023-06-14,14925.0,15061.5,14793.0,15012.75,15012.75,204099,14634.1,14301.21,13637.52,12267.79,15138.16,14301.21,13464.26,78.75,75.67,373.02,336.31,36.72,232.8
2023-06-15,15038.0,15252.0,14878.0,15188.0,15188.0,139777,14705.68,14378.44,13676.9,12281.27,15244.38,14378.44,13512.49,81.82,78.01,395.11,348.07,47.04,242.88
2023-06-16,15181.25,15324.0,15130.5,15316.61,15316.61,636907,14779.81,14449.57,13721.64,12296.06,15379.33,14449.57,13519.81,83.76,79.57,418.18,362.09,56.09,239.36
2023-06-20,15303.25,15322.5,15126.5,15256.5,15256.5,652883,14846.59,14519.49,13763.36,12310.92,15472.0,14519.49,13566.99,79.31,76.83,426.69,375.01,51.68,236.26
2023-06-21,15247.5,15273.25,15002.25,15044.0,15044.0,640702,14892.34,14576.57,13801.08,12324.67,15510.02,14576.57,13643.12,65.48,67.93,411.54,382.32,29.22,238.74
2023-06-22,15038.75,15238.0,14964.0,15214.75,15214.75,611017,14980.66,14650.87,13843.88,12340.23,15535.46,14650.87,13766.28,70.18,70.85,408.6,387.57,21.03,241.26
2023-06-23,15236.0,15236.0,14985.25,15058.25,15058.25,620593,15036.19,14721.27,13886.0,12355.42,15486.63,14721.27,13955.9,61.54,65.01,389.16,387.89,1.27,241.94
2023-06-26,15057.75,15152.5,14853.5,14856.5,14856.5,649993,15066.21,14765.27,13918.93,12368.39,15446.96,14765.27,14083.57,52.22,58.33,353.4,380.99,-27.59,246.01
2023-06-27,14875.0,15139.25,14862.25,15111.5,15111.5,569198,15097.31,14804.22,13957.54,12382.34,15470.65,14804.22,14137.79,60.69,63.44,341.7,373.13,-31.44,248.64
2023-06-28,15088.25,15219.0,15021.25,15130.0,15130.0,662146,15118.89,14840.88,13996.41,12395.03,15493.46,14840.88,14188.3,61.25,63.79,330.11,364.53,-34.42,245.0
2023-06-29,15161.0,15202.75,15028.5,15100.25,15100.25,594134,15127.64,14880.87,14034.55,12406.82,15490.63,14880.87,14271.1,59.71,62.76,314.9,354.6,-39.71,239.95
2023-06-30,15106.0,15376.75,15099.0,15337.0,15337.0,529455,15142.54,14924.11,14077.63,12423.33,15534.51,14924.11,14313.7,67.11,67.29,318.27,347.34,-29.06,242.65
2023-07-03,15331.0,15392.0,15308.0,15364.75,15364.75,265064,15147.35,14963.58,14123.44,12439.44,15581.07,14963.58,14346.09,67.89,67.79,319.51,341.77,-22.26,231.32
2023-07-05,15357.0,15432.0,15255.25,15360.75,15360.75,519857,15157.78,15002.18,14168.85,12456.57,15617.52,15002.18,14386.84,67.63,67.63,316.51,336.72,-20.21,227.42
2023-07-06,15353.75,15366.0,15111.5,15238.0,15238.0,574681,15177.18,15034.76,14212.48,12473.69,15625.95,15034.76,14443.56,59.75,62.77,300.77,329.53,-28.76,229.35
2023-07-07,15211.75,15359.75,15172.25,15181.75,15181.75,555119,15173.88,15077.27,14259.92,12489.48,15569.54,15077.27,14585.0,56.36,60.61,280.52,319.73,-39.21,226.36
2023-07-10,15198.5,15218.25,15063.25,15187.0,15187.0,609953,15186.75,15111.47,14305.91,12505.8,15524.4,15111.47,14698.54,56.62,60.75,261.87,308.16,-46.28,221.27
2023-07-11,15195.75,15278.75,15109.5,15260.0,15260.0,552637,15227.1,15146.66,14346.48,12523.55,15470.76,15146.66,14822.55,60.29,62.67,250.11,296.55,-46.44,217.55
2023-07-12,15258.0,15507.75,15254.5,15444.75,15444.75,649433,15260.42,15178.87,14388.97,12542.95,15485.72,15178.87,14872.02,68.01,67.06,252.77,287.79,-35.02,220.1
2023-07-13,15457.75,15741.25,15456.5,15711.5,15711.5,563935,15318.58,15218.73,14437.07,12564.62,15582.67,15218.73,14854.79,75.69,72.15,273.26,284.89,-11.62,225.56
2023-07-14,15699.0,15857.25,15663.0,15694.25,15694.25,629943,15377.98,15252.81,14487.26,12586.51,15660.52,15252.81,14845.09,74.39,71.38,284.83,284.87,-0.05,223.32
2023-07-17,15690.0,15882.75,15661.5,15840.75,15840.75,522129,15428.35,15285.44,14542.06,12609.04,15768.8,15285.44,14802.08,77.99,73.92,302.33,288.36,13.96,223.17
2023-07-18,15832.0,16029.75,15733.0,15974.75,15974.75,633272,15489.35,15318.35,14600.68,12631.14,15891.85,15318.35,14744.85,80.78,76.02,323.28,295.35,27.93,228.43
2023-07-19,15949.25,16062.75,15911.25,15959.25,15959.25,682279,15549.2,15353.49,14653.51,12654.79,15993.31,15353.49,14713.66,79.47,75.26,334.78,303.23,31.54,222.93
2023-07-20,15922.75,15925.75,15547.0,15592.25,15592.25,810475,15584.62,15380.9,14698.31,12677.58,16011.81,15380.9,14749.99,55.51,60.07,310.69,304.73,5.97,236.46
2023-07-21,15590.75,15719.25,15522.25,15540.0,15540.0,704413,15620.45,15397.16,14743.82,12698.85,16026.81,15397.16,14767.52,52.95,58.27,284.11,300.6,-16.49,233.64
2023-07-24,15556.0,15618.75,15483.75,15561.25,15561.25,561877,15657.88,15422.31,14786.85,12718.45,16034.91,15422.31,14809.72,53.92,58.81,261.75,292.83,-31.08,226.59
2023-07-25,15570.0,15736.25,15549.25,15673.0,15673.0,554880,15699.18,15463.14,14831.38,12738.7,16023.57,15463.14,14902.7,58.94,61.63,250.16,284.3,-34.14,223.76
2023-07-26,15730.25,15739.25,15515.0,15610.75,15610.75,683826,15715.78,15488.1,14875.67,12759.04,16026.64,15488.1,14949.56,55.18,59.2,233.26,274.09,-40.83,223.8
2023-07-27,15638.75,15904.0,15511.25,15571.0,15571.0,846437,15701.72,15510.15,14917.73,12781.39,16022.42,15510.15,14997.88,52.76,57.64,214.19,262.11,-47.92,235.87
2023-07-28,15580.0,15896.0,15546.25,15847.5,15847.5,689386,15717.05,15547.51,14965.02,12805.71,16042.62,15547.51,15052.4,64.83,64.63,218.87,253.46,-34.59,244.0
2023-07-31,15850.0,15917.0,15791.25,15857.5,15857.5,523896,15718.72,15573.54,15009.3,12830.77,16076.71,15573.54,15070.37,65.19,64.86,220.83,246.94,-26.1,235.56
2023-08-01,15869.25,15889.25,15728.25,15817.25,15817.25,529660,15702.98,15596.16,15047.76,12855.65,16100.5,15596.16,15091.83,62.29,63.11,216.65,240.88,-24.23,230.23
2023-08-02,15757.0,15789.75,15414.0,15473.0,15473.0,773499,15654.35,15601.78,15080.06,12877.6,16097.5,15601.78,15106.05,43.61,50.56,183.44,229.39,-45.95,242.59
2023-08-03,15455.75,15551.75,15339.5,15438.75,15438.75,658841,15639.0,15611.81,15110.79,12901.07,16084.1,15611.81,15139.52,42.19,49.5,152.6,214.03,-61.44,240.42
2023-08-04,15441.0,15610.25,15336.5,15354.0,15354.0,773229,15620.4,15620.42,15143.29,12922.29,16065.17,15620.42,15175.68,38.69,46.9,119.93,195.21,-75.28,242.8
2023-08-07,15370.5,15495.5,15334.25,15485.5,15485.5,578299,15612.82,15635.35,15180.0,12943.72,16036.78,15635.35,15233.92,46.45,51.19,103.46,176.86,-73.4,236.98
2023-08-08,15495.0,15497.75,15218.0,15354.25,15354.25,638813,15580.95,15640.06,15207.55,12964.73,16024.81,15640.06,15255.32,40.67,47.1,78.91,157.27,-78.36,240.03
2023-08-09,15351.75,15432.5,15146.5,15178.25,15178.25,652732,15537.7,15626.74,15224.47,12985.17,16055.86,15626.74,15197.61,34.25,42.22,44.74,134.77,-90.03,243.32
