Date,Open,High,Low,Close,Adj Close,Volume
2024/10/11,20435,20494.25,20314.75,20450,20450,385312
2024/10/10,20445.25,20508.25,20301.5,20429.75,20429.75,450569
2024/10/9,20294.25,20482.75,20196,20463.5,20463.5,421249
2024/10/8,20025.75,20329.5,19902.5,20298.5,20298.5,444750
2024/10/7,20220,20267.25,19948,19992.75,19992.75,450371
2024/10/4,19965.5,20263.75,19941.5,20227.25,20227.25,560070
2024/10/3,20055.5,20113.75,19852,19990.25,19990.25,526765
2024/10/2,19975.25,20090.25,19833.5,20009.75,20009.75,475599
2024/10/1,20234.25,20331.75,19818,19975,19975,662776
2024/9/30,20198.5,20287,20056,20261.25,20261.25,510434
2024/9/27,20345,20395.75,20173,20221.5,20221.5,435634
2024/9/26,20242,20538,20188,20346.25,20346.25,509755
2024/9/25,20183.75,20271,20064.25,20192,20192,405050
2024/9/24,20063.25,20214.75,19953,20167.75,20167.75,457126
2024/9/23,20040,20164,19955.25,20080,20080,394947
2024/9/20,19831.25,19838.25,19746.5,19808.01,19808.01,479646
2024/9/19,19420.5,19966.25,19408.75,19850.25,19850.25,134917
2024/9/18,19451,19660,19331,19349.25,19349.25,138848
2024/9/17,19426.5,19615.5,19341,19439.25,19439.25,254059
2024/9/16,19498,19546.5,19299.25,19433,19433,339781
2024/9/13,19419.5,19577.25,19398.25,19530.25,19530.25,467948
2024/9/12,19241.5,19483.5,19185,19447.25,19447.25,581032
2024/9/11,18837.75,19293.5,18547,19271,19271,729344
2024/9/10,18727,18878.5,18582.25,18864,18864,536220
2024/9/9,18400,18734.5,18386,18692.25,18692.25,726350
2024/9/6,18921,18972.25,18339.75,18458.25,18458.25,726350
2024/9/5,18965.75,19150.5,18827.25,18963.5,18963.5,585125
2024/9/4,18993.75,19114.75,18825.75,18962.5,18962.5,582116
2024/9/3,19599,19683,18911,19006.5,19006.5,698442
2024/8/30,19445.75,19632.75,19370.5,19623,19623,495609
2024/8/29,19217,19693.5,19140.25,19393.25,19393.25,669705
2024/8/28,19635.5,19691,19227.25,19415.75,19415.75,537278
2024/8/27,19558.75,19694.25,19441.5,19653.75,19653.75,441146
2024/8/26,19787.75,19846.25,19505.5,19591.25,19591.25,473540
2024/8/23,19621.5,19904.25,19591.75,19790.75,19790.75,581201
2024/8/22,19921.25,20025.25,19542,19578.25,19578.25,630179
2024/8/21,19803,19981.75,19771.5,19909.5,19909.5,479077
2024/8/20,19857.75,19931,19743,19809.5,19809.5,485435
2024/8/19,19629,19871.75,19525.25,19857.75,19857.75,429305
2024/8/16,19570.25,19683,19447.5,19605.75,19605.75,458933
2024/8/15,19142.5,19603.25,19100.5,19581.25,19581.25,522322
2024/8/14,19099.25,19203.5,18925.5,19115,19115,553997
2024/8/13,18648.25,19122.5,18628.5,19104.25,19104.25,497670
2024/8/12,18590,18765.25,18515,18639.5,18639.5,469892
2024/8/9,18550.25,18674.5,18383,18616,18616,501761
2024/8/8,17873,18593.5,17741.75,18525.25,18525.25,663957
2024/8/7,18033,18558.5,17836.25,17966.5,17966.5,725244
2024/8/6,18165.75,18483.25,17966,18179,18179,697089
2024/8/5,18390,18390,17351,18013.25,18013.25,937137
2024/8/2,18956.5,18979.75,18385.75,18556.25,18556.25,842228
2024/8/1,19593.25,19717,18854,19023.25,19023.25,920616
2024/7/31,18865.75,19648,18861.75,19505.25,19505.25,762246
2024/7/30,19217,19319.75,18725,18936.25,18936.25,745002
2024/7/29,19171.75,19377.25,19113.25,19209.25,19209.25,600017
2024/7/26,19003,19297.75,18995,19174.5,19174.5,694702
2024/7/25,19260,19390.5,18883.25,18992.25,18992.25,992015
2024/7/24,19883,19883,19168.75,19203.25,19203.25,846812
2024/7/23,19982,20084.75,19868.25,19925,19925,601990
2024/7/22,19749,20044.75,19718.75,20001,20001,657854
2024/7/19,19955,19979.75,19654,19713,19713,774109
2024/7/18,20024.25,20162.5,19758.75,19899.25,19899.25,964287
2024/7/17,20591,20597.75,19965.75,19997.5,19997.5,854323
2024/7/16,20628,20684.5,20464.5,20598,20598,629745
2024/7/15,20580,20797,20506.25,20583.75,20583.75,703410
